y_socm_A1_par_p_y:z,y_socm_A1_par_p_y:x,y_socm_A1_par_p_z:x,y_socm_A1_par_d_xy:yz,y_socm_A1_par_d_xy:xz,y_socm_A1_par_d_xy:x2-y2,y_socm_A1_par_d_yz:z2-r2,y_socm_A1_par_d_yz:xz,y_socm_A1_par_d_yz:x2-y2,y_socm_A1_par_d_z2-r2:xz,y_socm_A1_par_d_xz:x2-y2,y_socm_A1_perp_p_y:z,y_socm_A1_perp_p_y:x,y_socm_A1_perp_p_z:x,y_socm_A1_perp_d_xy:yz,y_socm_A1_perp_d_xy:xz,y_socm_A1_perp_d_xy:x2-y2,y_socm_A1_perp_d_yz:z2-r2,y_socm_A1_perp_d_yz:xz,y_socm_A1_perp_d_yz:x2-y2,y_socm_A1_perp_d_z2-r2:xz,y_socm_A1_perp_d_xz:x2-y2,y_socm_A2_par_p_y:z,y_socm_A2_par_p_y:x,y_socm_A2_par_p_z:x,y_socm_A2_par_d_xy:yz,y_socm_A2_par_d_xy:xz,y_socm_A2_par_d_xy:x2-y2,y_socm_A2_par_d_yz:z2-r2,y_socm_A2_par_d_yz:xz,y_socm_A2_par_d_yz:x2-y2,y_socm_A2_par_d_z2-r2:xz,y_socm_A2_par_d_xz:x2-y2,y_socm_A2_perp_p_y:z,y_socm_A2_perp_p_y:x,y_socm_A2_perp_p_z:x,y_socm_A2_perp_d_xy:yz,y_socm_A2_perp_d_xy:xz,y_socm_A2_perp_d_xy:x2-y2,y_socm_A2_perp_d_yz:z2-r2,y_socm_A2_perp_d_yz:xz,y_socm_A2_perp_d_yz:x2-y2,y_socm_A2_perp_d_z2-r2:xz,y_socm_A2_perp_d_xz:x2-y2
-0.0019262,-0.0004286,-0.0027258,-0.0013875,-0.0030121,-0.0071342,0.0017072,-0.0082196,-0.001043,0.0026891,-0.0022443,-0.0021325,-0.0005535,-0.0027292,-0.0017632,-0.0018084,-0.0089845,0.0001537,-0.0030959,-0.0012033,0.0030651,-0.0024106,-0.0048766,-0.0032558,-0.0047618,-0.0407655,-0.0303796,-0.1671157,-0.1198221,-0.042789,-0.0372623,-0.099269,-0.0337118,-0.0047108,-0.0026261,-0.0046546,-0.0287569,-0.0279447,-0.245451,-0.0985365,-0.0257483,-0.0276769,-0.1032028,-0.0276709
-0.0016192,-0.0012457,-0.002553,-8.35e-05,-0.0037603,-0.0090192,-0.0103377,-0.0060968,-0.0039971,0.0028766,-0.0002611,-0.0022722,-0.0014037,-0.0025777,-0.0003476,-9.73e-05,-0.0065928,0.0032059,-0.0073811,-0.000313,0.002475,2.87e-05,-0.0080966,-0.0063103,-0.0090092,-0.0396333,-0.0112612,-0.1276358,-0.0442383,-0.0299182,-0.0099344,-0.0750389,-0.0387973,-0.0085659,-0.0066625,-0.0084951,-0.0443804,-0.0485256,-0.109338,-0.0826153,-0.0312569,-0.0443134,-0.0804957,-0.0483904
-0.0225238,-0.0100279,-0.0235445,-0.021894,-0.0252147,-0.0726606,-0.0420594,-0.0435355,-0.0171188,-0.043068,-0.0222641,-0.0222441,-0.009127,-0.0234034,-0.0200419,-0.0209835,-0.0732337,-0.0463417,-0.0270802,-0.018048,-0.048299,-0.0237776,-0.006427,-0.0051052,-0.0059782,-0.0335612,-0.0295415,-0.1751949,-0.0834121,-0.0508267,-0.0337935,-0.0789375,-0.0314263,-0.0059317,-0.0039409,-0.0053605,-0.0279325,-0.025327,-0.2168357,-0.0747197,-0.0377979,-0.028437,-0.0684084,-0.0316477
-0.0225601,-0.0103395,-0.0204999,-0.0215017,-0.0258912,-0.0750185,-0.0441273,-0.039787,-0.0174654,-0.0528893,-0.014316,-0.02254,-0.0089656,-0.0200516,-0.0121765,-0.0191426,-0.0863811,-0.0462524,-0.0219767,-0.0178404,-0.0674661,-0.0104473,-0.0065495,-0.0054156,-0.0064921,-0.0314308,-0.0318713,-0.1635941,-0.0729772,-0.0509232,-0.0330537,-0.084744,-0.0371573,-0.0063674,-0.0043123,-0.0067447,-0.0159934,-0.0293084,-0.2208693,-0.0717246,-0.0323862,-0.0272439,-0.1002266,-0.0164407
-0.0219757,-0.0098027,-0.0214612,-0.0239319,-0.0251785,-0.0739794,-0.0389087,-0.0445317,-0.0179903,-0.0493629,-0.0166404,-0.0215562,-0.0088392,-0.0210406,-0.0202916,-0.0157875,-0.0833185,-0.0519816,-0.0269775,-0.0142599,-0.0523297,-0.0177682,-0.0065852,-0.0054477,-0.0064208,-0.0295057,-0.0325682,-0.1700483,-0.0865725,-0.0534705,-0.0360714,-0.0695877,-0.0317903,-0.0066225,-0.0043762,-0.0062238,-0.0253503,-0.0217015,-0.2229171,-0.088384,-0.0363215,-0.0232524,-0.0717903,-0.0251171
-0.001747,-0.0011163,-0.0010053,-0.0003722,-0.0008416,-0.0065321,-0.0087187,-0.0061916,-0.0027872,0.0018175,-0.0012943,-0.000887,-0.0002552,-0.0008898,-0.0006953,-0.0008328,-0.0069577,0.0008379,-0.0008761,-0.0006602,0.0008934,-0.0008474,-0.0071091,-0.0052777,-0.0075826,-0.0314275,-0.0348579,-0.1098885,-0.0344674,-0.0372497,-0.0095558,-0.0801944,-0.0242698,-0.0073327,-0.0045721,-0.0073635,-0.025392,-0.0243646,-0.1634003,-0.0804262,-0.0098196,-0.0253893,-0.0803727,-0.0244327
-0.0212781,-0.0107758,-0.0204997,-0.0136491,-0.019254,-0.0609296,-0.0562682,-0.0321839,-0.0237188,-0.0475272,-0.0169764,-0.0203729,-0.0092509,-0.0203201,-0.0137437,-0.0151904,-0.0624874,-0.0484585,-0.0211402,-0.0156518,-0.053944,-0.0113243,-0.0077808,-0.006036,-0.007604,-0.0238246,-0.0271914,-0.1203897,-0.0458145,-0.0334327,-0.0162661,-0.0700172,-0.0217114,-0.0069664,-0.0049838,-0.0069935,-0.0212145,-0.031027,-0.154652,-0.0631939,-0.0184543,-0.0250513,-0.0748624,-0.0268334
-0.0224249,-0.0084406,-0.022863,-0.0252408,-0.0310126,-0.0629809,-0.0451352,-0.0504459,-0.0197702,-0.0483187,-0.0174818,-0.0220363,-0.0064393,-0.0219709,-0.018595,-0.0184069,-0.0758067,-0.0523982,-0.0132445,-0.0180966,-0.0520902,-0.018239,-0.0058808,-0.004814,-0.0056358,-0.03098,-0.0270583,-0.1701339,-0.0805314,-0.060077,-0.0380294,-0.0585872,-0.0345769,-0.0051455,-0.0026379,-0.0051556,-0.0227243,-0.0231929,-0.2316003,-0.0756293,-0.0100048,-0.0229484,-0.0769899,-0.0232105
-0.0259727,-0.0116835,-0.0262665,-0.0162406,-0.0172001,-0.0678675,-0.0501411,-0.0298121,-0.0193958,-0.0568756,-0.019747,-0.0251141,-0.0111218,-0.0258978,-0.0132077,-0.0142307,-0.0663317,-0.0474836,-0.0213519,-0.0153162,-0.0564141,-0.0124279,-0.0081999,-0.0062002,-0.0084769,-0.0228923,-0.0317005,-0.1247387,-0.0567033,-0.0306697,-0.0168075,-0.0613014,-0.0209252,-0.0073956,-0.005141,-0.007277,-0.0240381,-0.0398991,-0.1247532,-0.063815,-0.0231514,-0.0290062,-0.0757685,-0.0347195
-0.019864,-0.0073747,-0.0196054,-0.0211764,-0.0166105,-0.0630422,-0.0520717,-0.0374722,-0.0210506,-0.0517769,-0.0236041,-0.0188895,-0.0054397,-0.018922,-0.0153331,-0.0149832,-0.0566551,-0.0564554,-0.0134268,-0.0155745,-0.0568979,-0.0159645,-0.0063461,-0.0049728,-0.0063675,-0.0240792,-0.0297095,-0.1314789,-0.0558978,-0.040767,-0.0213473,-0.0601684,-0.019281,-0.0056183,-0.0032886,-0.0056228,-0.0260256,-0.0254455,-0.1322786,-0.0613653,-0.0081021,-0.0267432,-0.0584238,-0.0261399
